Decanoic acid (50 mM),Decanoic acid (10 mM),Decanoic acid (2 mM),Decanoate (50 mM),Decanoate (10 mM),Decanoate (2 mM),Decylamine (50 mM),Decylamine (10 mM),Decylamine (2 mM),Decyltrimethyl ammonium bromid (50 mM),Decyltrimethyl ammonium bromid (10 mM),Decyltrimethyl ammonium bromid (2 mM),Decyl sodium sulfate (50 mM),Decyl sodium sulfate (10 mM),Decyl sodium sulfate (2 mM),Perfluorooctanoic acid (15 mM),Perfluorooctanoic acid (3 mM),Glycerol monodecanoate (10 mM),Glycerol monodecanoate (2 mM)
14.9,0.0,0.0,7.7,0.0,0.0,10.2,0.0,0.0,0.0,0.0,3.8,18.7,0.0,0.0,15.3,0.0,0.0,15.9
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.8,0.0,12.8,0.0,10.2,0.0,0.0,0.0,3.9,15.8,0.0
12.6,0.0,0.0,16.3,0.0,0.0,17.7,0.0,0.0,18.3,0.0,0.0,6.2,0.0,0.0,19.3,0.0,13.8,0.0
0.0,0.0,2.8,7.4,0.0,0.0,0.0,11.5,0.0,5.0,0.0,0.0,18.2,0.0,0.0,5.9,0.0,15.8,0.0
14.0,0.0,0.0,12.9,0.0,0.0,13.5,0.0,0.0,17.3,0.0,0.0,6.6,0.0,0.0,0.0,13.4,10.7,0.0
11.7,0.0,0.0,12.7,0.0,0.0,4.7,0.0,0.0,13.3,0.0,0.0,0.0,4.8,0.0,8.6,0.0,0.0,0.4
0.0,5.7,0.0,0.0,13.8,0.0,0.0,18.6,0.0,5.1,0.0,0.0,12.3,0.0,0.0,0.0,13.4,8.6,0.0
17.9,0.0,0.0,11.7,0.0,0.0,0.0,5.7,0.0,15.0,0.0,0.0,5.6,0.0,0.0,16.9,0.0,14.8,0.0
17.3,0.0,0.0,11.8,0.0,0.0,9.0,0.0,0.0,13.5,0.0,0.0,8.8,0.0,0.0,19.1,0.0,12.8,0.0
18.4,0.0,0.0,0.0,11.4,0.0,5.7,0.0,0.0,0.0,14.3,0.0,0.0,13.3,0.0,0.0,2.3,10.5,0.0
