Geraniol,Decanoate,Glycine octylester,Myristoleic acid,Hexadecanoic acid,Decanal,Glycerol monodecanoate
0.05985367100679692,2.255232107338636,1.595395778272708,0.20324979609192603,0.36222759043070857,0.6827504049747222,0.22804005197595126
0.25787947547694023,0.31281422034017825,0.2824148526959256,2.1528077547102766,0.3852565642646642,0.372634296576475,0.8619165484050065
1.3019851696056164,0.02481857457241671,0.15743376284790223,0.5893640023668082,0.05117072247745065,0.783403072188768,0.3438744460566193
0.634325165539738,0.15292294397111592,0.16588328197301241,3.963816926454228,0.41026848346864137,0.3448767516931733,0.17011992855049612
0.0941665509118024,0.13953758785440654,1.058241603628256,0.6973862116501587,0.5164571871419255,0.29366829948349776,0.745309318227841
0.3196141021554001,0.7153792898878165,0.5622181808484813,0.9485485798787336,0.5782177744732538,0.5652119028505906,0.32630068245672933
0.8141711209876796,0.7600805431706734,0.21051256964898693,0.9294102230191958,0.19514858582174485,1.0186415411996277,0.9537884974963022
0.8887960768066601,0.09762901746549933,0.05852580791356422,1.135102729524454,0.1636025263808231,0.7437679459520854,0.8416169385640911
0.31898719250939855,1.1980949926173734,1.495831112858008,0.589935984144513,0.7629967636861262,0.08294813536462797,0.23389513093756628
0.6298315090253391,1.0979916450772493,0.24407286350781865,0.3834440331148869,2.388540776487485,0.18086861432153353,0.4390965483636704
