Decanal (50 mM),Decanal (10 mM),Decanal (2 mM),Geraniol (50 mM),Geraniol (10 mM),Geraniol (2 mM),Hexadecanoic acid (50 mM),Hexadecanoic acid (10 mM),Hexadecanoic acid (2 mM),Decyltrimethyl ammonium bromid (50 mM),Decyltrimethyl ammonium bromid (10 mM),Decyltrimethyl ammonium bromid (2 mM),Decyl sodium sulfate (50 mM),Decyl sodium sulfate (10 mM),Decyl sodium sulfate (2 mM),Myristoleic acid (15 mM),Myristoleic acid (3 mM),Glycine octylester (10 mM),Glycine octylester (2 mM)
5.5,0.0,0.0,0.0,0.0,12.1,6.7,0.0,0.0,14.1,0.0,0.0,19.9,0.0,0.0,6.4,0.0,5.0,0.0
0.0,8.5,0.0,0.0,0.0,1.7,8.3,0.0,0.0,0.0,15.3,0.0,18.9,0.0,0.0,0.0,12.9,5.4,0.0
8.2,0.0,0.0,0.0,0.0,1.8,0.0,8.4,0.0,5.6,0.0,0.0,18.0,0.0,0.0,5.6,0.0,6.8,0.0
0.0,12.7,0.0,0.0,0.0,6.1,4.5,0.0,0.0,15.9,0.0,0.0,19.3,0.0,0.0,10.6,0.0,0.0,11.9
5.9,0.0,0.0,0.0,0.0,7.7,0.0,6.1,0.0,19.4,0.0,0.0,18.5,0.0,0.0,0.0,0.3,18.7,0.0
4.1,0.0,0.0,0.0,8.2,0.0,0.0,0.0,11.6,7.5,0.0,0.0,19.5,0.0,0.0,0.0,11.0,0.0,3.3
5.6,0.0,0.0,0.0,4.3,0.0,6.7,0.0,0.0,5.0,0.0,0.0,14.2,0.0,0.0,0.0,6.3,8.1,0.0
12.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,12.4,5.2,0.0,0.0,16.4,0.0,0.0,8.5,0.0,8.2,0.0
4.3,0.0,0.0,0.0,8.2,0.0,6.1,0.0,0.0,16.4,0.0,0.0,12.9,0.0,0.0,0.0,4.1,12.3,0.0
0.0,8.5,0.0,0.0,0.0,19.1,0.0,7.0,0.0,16.9,0.0,0.0,13.4,0.0,0.0,5.1,0.0,11.5,0.0
