Heptadecafluorooctanesulfonic acid potassium salt (50 mM),Heptadecafluorooctanesulfonic acid potassium salt (10 mM),Heptadecafluorooctanesulfonic acid potassium salt (2 mM),Decanoate (50 mM),Decanoate (10 mM),Decanoate (2 mM),Decylamine (50 mM),Decylamine (10 mM),Decylamine (2 mM),Perfluorooctanoic acid (50 mM),Perfluorooctanoic acid (10 mM),Perfluorooctanoic acid (2 mM),Decyl sodium sulfate (50 mM),Decyl sodium sulfate (10 mM),Decyl sodium sulfate (2 mM),"1H,1H,2H,2H-Tridecafluorooctane-1-sulphonic acid (15 mM)","1H,1H,2H,2H-Tridecafluorooctane-1-sulphonic acid (3 mM)",Glycerol monodecanoate (10 mM),Glycerol monodecanoate (2 mM)
0.0,18.7,0.0,11.9,0.0,0.0,13.1,0.0,0.0,4.2,0.0,0.0,17.8,0.0,0.0,6.0,0.0,14.1,0.0
14.9,0.0,0.0,7.7,0.0,0.0,10.2,0.0,0.0,0.0,0.0,3.8,18.7,0.0,0.0,15.3,0.0,0.0,15.9
8.2,0.0,0.0,12.2,0.0,0.0,7.3,0.0,0.0,0.0,6.0,0.0,13.1,0.0,0.0,10.5,0.0,6.2,0.0
4.3,0.0,0.0,13.6,0.0,0.0,11.7,0.0,0.0,7.2,0.0,0.0,18.2,0.0,0.0,0.0,13.4,0.0,7.9
0.0,7.9,0.0,15.0,0.0,0.0,12.1,0.0,0.0,11.9,0.0,0.0,14.2,0.0,0.0,13.4,0.0,10.9,0.0
0.0,19.9,0.0,18.6,0.0,0.0,9.9,0.0,0.0,0.0,0.0,16.1,14.8,0.0,0.0,7.4,0.0,0.0,4.9
6.5,0.0,0.0,7.6,0.0,0.0,7.3,0.0,0.0,0.0,0.0,17.8,15.3,0.0,0.0,0.0,18.4,0.0,9.4
5.9,0.0,0.0,15.2,0.0,0.0,5.7,0.0,0.0,10.1,0.0,0.0,19.7,0.0,0.0,0.0,8.5,4.2,0.0
0.0,0.0,14.9,18.9,0.0,0.0,19.4,0.0,0.0,10.0,0.0,0.0,6.5,0.0,0.0,4.4,0.0,15.2,0.0
18.4,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,18.3,0.0,0.0,0.0,9.3,9.9,0.0
